차 이름,모델명,가격,주요제원[엔진형식],주요제원[과급방식],주요제원[배기량],주요제원[연료],주요제원[연비(등급)],주요제원[승차인원],주요제원[구동방식],주요제원[변속기],엔진[엔진형식],엔진[배기량],엔진[연료],엔진[최대출력],엔진[최대토크],성능[최고속도],성능[가속성능(0~100km/h)],성능[제동성능],성능[연비(등급)],성능[CO²배출량],치수[전장],치수[전폭],치수[전고],치수[축거],치수[윤거전],치수[윤거후],치수[공차중량],치수[승차인원],치수[전륜타이어],치수[후륜타이어],섀시[구동방식],섀시[변속기],섀시[전륜서스펜션],섀시[후륜서스펜션],섀시[전륜제동장치],섀시[후륜제동장치],섀시[스티어링],Error,Error
2014 i10,1.2 가솔린,"9,795파운드",I41.2가솔린,정보없음,"1,248cc",가솔린,정보없음,5인승,전륜구동,자동4단,I41.2가솔린,"1,248cc",가솔린,85hp,12.3kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"3,665mm","1,660mm","1,490mm","2,385mm",정보없음,정보없음,정보없음,5인승,175mm/60/14inch,175mm/60/14inch,전륜구동,자동4단,맥퍼슨스트럿,토션빔액슬,디스크,드럼,랙앤피니언,,
2014 i30,1.6 VGT,"1,945~2,330만원",I4직분사디젤,싱글터보,"1,582cc",디젤,자동16.2km/ℓ(1등급)수동17.9km/ℓ(1등급),5인승,전륜구동,"자동6단,수동6단",I4직분사디젤,"1,582cc",디젤,128hp,26.5kg.m,정보없음,정보없음,정보없음,자동16.2km/ℓ(1등급)수동17.9km/ℓ(1등급),107.0~120.0g/km,"4,300mm","1,780mm","1,470mm","2,650mm","1,549mm","1,562mm","1,275~1,290kg",5인승,195~215mm/45~65/15~17inch,195~215mm/45~65/15~17inch,전륜구동,"자동6단,수동6단",맥퍼슨스트럿,토션빔,V디스크,디스크,랙앤피니언,,
2014 i30,2.0 GDi,"1,835~2,045만원",I4직분사,자연흡기,"1,999cc",가솔린,자동11.7km/ℓ(3등급)수동12.6km/ℓ(3등급),5인승,전륜구동,"자동6단,수동6단",I4직분사,"1,999cc",가솔린,172hp,21.0kg.m,정보없음,정보없음,정보없음,자동11.7km/ℓ(3등급)수동12.6km/ℓ(3등급),138.0~149.0g/km,"4,300mm","1,780mm","1,470mm","2,650mm","1,549mm","1,562mm","1,300~1,325kg",5인승,215mm/45/17inch,215mm/45/17inch,전륜구동,"자동6단,수동6단",맥퍼슨스트럿,토션빔,V디스크,디스크,랙앤피니언,,
2014 i30,1.6 GDi,"1,820~2,130만원",I4직분사,자연흡기,"1,591cc",가솔린,자동13.5km/ℓ(3등급),5인승,전륜구동,자동6단,I4직분사,"1,591cc",가솔린,140hp,17.0kg.m,정보없음,정보없음,정보없음,자동13.5km/ℓ(3등급),128.0g/km,"4,300mm","1,780mm","1,470mm","2,650mm","1,549mm","1,562mm","1,231kg",5인승,195~215mm/45~65/15~17inch,195~215mm/45~65/15~17inch,전륜구동,자동6단,맥퍼슨스트럿,토션빔,V디스크,디스크,랙앤피니언,,
2014 i40,1.7 VGT,"2,885~3,195만원",I4직분사디젤,싱글터보,"1,685cc",디젤,자동15.1km/ℓ(2등급),5인승,전륜구동,자동6단,I4직분사디젤,"1,685cc",디젤,140hp,33.0kg.m,정보없음,정보없음,정보없음,자동15.1km/ℓ(2등급),130.0g/km,"4,815mm","1,815mm","1,470mm","2,770mm","1,579mm","1,585mm","1,530kg",5인승,225mm/45/18inch,225mm/45/18inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤드피니언,,
2014 i40,2.0 GDI,"2,715~3,025만원",I4직분사,자연흡기,"1,999cc",가솔린,자동11.6km/ℓ(3등급),5인승,전륜구동,자동6단,I4직분사,"1,999cc",가솔린,178hp,21.6kg.m,정보없음,정보없음,정보없음,자동11.6km/ℓ(3등급),151.0g/km,"4,815mm","1,815mm","1,470mm","2,770mm","1,579mm","1,585mm","1,475kg",5인승,215~225mm/45~50/17~18inch,215~225mm/45~50/17~18inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤드피니언,,
2014 i40 살룬,1.7 VGT,"2,785~3,115만원",I4직분사디젤,싱글터보,"1,685cc",디젤,자동15.1km/ℓ(2등급),5인승,전륜구동,자동6단,I4직분사디젤,"1,685cc",디젤,140hp,33.0kg.m,정보없음,정보없음,정보없음,자동15.1km/ℓ(2등급),130.0~151.0g/km,"4,740mm","1,815mm","1,470mm","2,770mm","1,579mm","1,585mm","1,515kg",5인승,215~225mm/45~50/17~18inch,215~225mm/45~50/17~18inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤드피니언,,
2014 i40 살룬,2.0 GDI,"2,615~2,945만원",I4직분사,자연흡기,"1,999cc",가솔린,자동11.6km/ℓ(3등급),5인승,전륜구동,자동6단,I4직분사,"1,999cc",가솔린,178hp,21.6kg.m,정보없음,정보없음,정보없음,자동11.6km/ℓ(3등급),151.0g/km,"4,740mm","1,815mm","1,470mm","2,770mm","1,579mm","1,585mm","1,455kg",5인승,215~225mm/45~50/17~18inch,215~225mm/45~50/17~18inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤드피니언,,
2014 그랜드 스타렉스,2.5 디젤 왜건 2WD,"2,275~2,710만원",I4직분사디젤,싱글터보,"2,497cc",디젤,자동9.5~10.9km/ℓ(4등급)수동10.5~10.9km/ℓ(4등급),11~12인승,후륜구동,"자동5단,수동6단",I4직분사디젤,"2,497cc",디젤,140~175hp,36.0~46.0kg.m,정보없음,정보없음,정보없음,자동9.5~10.9km/ℓ(4등급)수동10.5~10.9km/ℓ(4등급),183.0~214.0g/km,"5,125mm","1,920mm","1,925mm","3,200mm","1,685mm","1,660mm","2,205~2,225kg",11~12인승,215mm/65~70/16~17inch,215mm/65~70/16~17inch,후륜구동,"자동5단,수동6단",맥퍼슨스트럿,5링크,디스크,디스크,랙앤드피니언,,
2014 그랜드 스타렉스,2.5 디젤 왜건 4WD,"2,249~2,900만원",I4직분사디젤,싱글터보,"2,497cc",디젤,자동8.7km/ℓ(5등급),11~12인승,파트타임4륜구동,자동5단,I4직분사디젤,"2,497cc",디젤,175hp,46.0kg.m,정보없음,정보없음,정보없음,자동8.7km/ℓ(5등급),235.0g/km,"5,125mm","1,920mm","1,970mm","3,200mm","1,685mm","1,660mm","2,383~2,391kg",11~12인승,215mm/65/17inch,215mm/65/17inch,파트타임4륜구동,자동5단,맥퍼슨스트럿,5링크,디스크,디스크,랙앤드피니언,,
2014 그랜드 스타렉스,2.4 LPi 밴,"1,850~2,085만원",I4,자연흡기,"2,359cc",LPG,자동6.4km/ℓ(5등급)수동6.8km/ℓ(5등급),3~5인승,후륜구동,"자동4단,수동6단",I4,"2,359cc",LPG,159hp,23.0kg.m,정보없음,정보없음,정보없음,자동6.4km/ℓ(5등급)수동6.8km/ℓ(5등급),199.0~214.0g/km,"5,125mm","1,920mm","1,935mm","3,200mm","1,685mm","1,660mm","1,935~2,030kg",3~5인승,215mm/70/16inch,215mm/70/16inch,후륜구동,"자동4단,수동6단",맥퍼슨스트럿,리지드,디스크,디스크,랙앤드피니언,,
2014 그랜드 스타렉스,2.5 디젤 밴,"1,895~2,350만원",I4직분사디젤,싱글터보,"2,497cc",디젤,자동9.6km/ℓ(4등급)수동11.4km/ℓ(4등급),3~5인승,후륜구동,"자동5단,수동6단",I4직분사디젤,"2,497cc",디젤,140~175hp,36.0~46.0kg.m,정보없음,정보없음,정보없음,자동9.6km/ℓ(4등급)수동11.4km/ℓ(4등급),176.0~214.0g/km,"5,125mm","1,920mm","1,935mm","3,200mm","1,685mm","1,660mm","1,990~2,070kg",3~5인승,215mm/70/16inch,215mm/70/16inch,후륜구동,"자동5단,수동6단",맥퍼슨스트럿,리지드,디스크,디스크,랙앤드피니언,,
2014 그랜드 스타렉스,2.4 LPi 왜건,"2,075~2,195만원",I4,자연흡기,"2,359cc",LPG,자동6.3km/ℓ(5등급)수동6.6km/ℓ(5등급),12인승,후륜구동,"자동4단,수동5단",I4,"2,359cc",LPG,159hp,23.0kg.m,정보없음,정보없음,정보없음,자동6.3km/ℓ(5등급)수동6.6km/ℓ(5등급),206.0~218.0g/km,"5,125mm","1,920mm","1,935~1,970mm","3,200mm","1,685mm","1,660mm","2,165~2,180kg",12인승,215mm/70/16inch,215mm/70/16inch,후륜구동,"자동4단,수동5단",맥퍼슨스트럿,5링크,디스크,디스크,랙앤드피니언,,
2014 맥스크루즈,2.2 디젤 4WD 6인승,"3,670~4,085만원",I4직분사,싱글터보,"2,199cc",디젤,자동11.3km/ℓ(4등급),6인승,"파트타임4륜구동,전륜구동",자동6단,I4직분사,"2,199cc",디젤,200hp,44.5kg.m,정보없음,정보없음,정보없음,자동11.3km/ℓ(4등급),168.0~178.0g/km,"4,915mm","1,885mm","1,690mm","2,800mm","1,628mm","1,639mm","1,840~1,905kg",6인승,235mm/55/19inch,235mm/55/19inch,"파트타임4륜구동,전륜구동",자동6단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2014 맥스크루즈,2.2 디젤 2WD 7인승,"3,478~3,893만원",I4직분사,싱글터보,"2,199cc",디젤,자동11.9km/ℓ(3등급),7인승,전륜구동,자동6단,I4직분사,"2,199cc",디젤,200hp,44.5kg.m,정보없음,정보없음,정보없음,자동11.9km/ℓ(3등급),168.0g/km,"4,915mm","1,885mm","1,700mm","2,800mm","1,628mm","1,639mm","1,855kg",7인승,235mm/55/19inch,235mm/55/19inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2014 맥스크루즈,2.2 디젤 2WD 6인승,"3,458~3,873만원",I4직분사,싱글터보,"2,199cc",디젤,자동11.9km/ℓ(3등급),6인승,전륜구동,자동6단,I4직분사,"2,199cc",디젤,200hp,44.5kg.m,정보없음,정보없음,정보없음,자동11.9km/ℓ(3등급),168.0g/km,"4,915mm","1,885mm","1,690mm","2,800mm","1,628mm","1,639mm","1,840kg",6인승,235mm/55/19inch,235mm/55/19inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2014 맥스크루즈,2.2 디젤 4WD 7인승,"3,690~4,105만원",I4직분사,싱글터보,"2,199cc",디젤,자동11.3km/ℓ(4등급),7인승,파트타임4륜구동,자동6단,I4직분사,"2,199cc",디젤,200hp,44.5kg.m,정보없음,정보없음,정보없음,자동11.3km/ℓ(4등급),178.0g/km,"4,915mm","1,885mm","1,700mm","2,800mm","1,628mm","1,639mm","1,920kg",7인승,235mm/55/19inch,235mm/55/19inch,파트타임4륜구동,자동6단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2014 밍투,2.0 가솔린,가격정보없음,I4DOHC,자연흡기,"1,999cc",가솔린,자동13.3km/ℓ,5인승,전륜구동,자동6단,I4DOHC,"1,999cc",가솔린,155hp,19.6kg.m,195km/h,정보없음,정보없음,자동13.3km/ℓ,정보없음,"4,710mm","1,820mm","1,470mm","2,770mm",정보없음,정보없음,"1,495kg",5인승,215mm/50/17inch,215mm/50/17inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,정보없음,정보없음,랙앤드피니언,,
2014 벨로스터,1.6 가솔린 터보,"2,130~2,450만원",I4직분사,싱글터보,"1,591cc",가솔린,자동11.8km/ℓ(3등급)수동12.6km/ℓ(3등급),4인승,전륜구동,"자동6단,수동6단",I4직분사,"1,591cc",가솔린,204hp,27.0kg.m,정보없음,정보없음,정보없음,자동11.8km/ℓ(3등급)수동12.6km/ℓ(3등급),137.0~148.0g/km,"4,250mm","1,805mm","1,400mm","2,650mm","1,557mm","1,570mm","1,280~1,325kg",4인승,215mm/40/18inch,215mm/40/18inch,전륜구동,"자동6단,수동6단",맥퍼슨스트럿,토션빔액슬,V디스크,디스크,랙앤피니언,,
2014 벨로스터,1.6 가솔린,"1,810~2,165만원",I4직분사,자연흡기,"1,591cc",가솔린,자동12.4km/ℓ(3등급)수동13.3km/ℓ(3등급)DCT13.6km/ℓ(3등급)토크컨버터12.4km/ℓ(3등급),4인승,전륜구동,"자동6단,수동6단,자동(DCT)6단,토크컨버터6단",I4직분사,"1,591cc",가솔린,140hp,17.0kg.m,정보없음,정보없음,정보없음,자동12.4km/ℓ(3등급)수동13.3km/ℓ(3등급)DCT13.6km/ℓ(3등급)토크컨버터12.4km/ℓ(3등급),127.0~140.0g/km,"4,220mm","1,790mm","1,400mm","2,650mm","1,561mm","1,574mm","1,185~1,235kg",4인승,215mm/45/17inch,215mm/45/17inch,전륜구동,"자동6단,수동6단,자동(DCT)6단,토크컨버터6단",맥퍼슨스트럿,토션빔액슬,V디스크,디스크,랙앤피니언,,
2014 싼타페,e-VGT R2.2 4WD,"3,142~3,678만원",I4직분사디젤,싱글터보,"2,199cc",디젤,자동12.4km/ℓ(3등급)수동14.0km/ℓ(2등급),7인승,풀타임4륜구동,"자동6단,수동6단",I4직분사디젤,"2,199cc",디젤,200hp,44.5kg.m,정보없음,정보없음,정보없음,자동12.4km/ℓ(3등급)수동14.0km/ℓ(2등급),141.0~161.0g/km,"4,690mm","1,880mm","1,690mm","2,700mm","1,628mm","1,639mm","1,799~1,864kg",7인승,235mm/55~60/18~19inch,235mm/55~60/18~19inch,풀타임4륜구동,"자동6단,수동6단",맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤드피니언,,
2014 싼타페,e-VGT R2.2 2WD,"2,930~3,466만원",I4직분사디젤,싱글터보,"2,199cc",디젤,자동13.8km/ℓ(2등급)수동14.8km/ℓ(2등급),7인승,전륜구동,"자동6단,수동6단",I4직분사디젤,"2,199cc",디젤,200hp,43.0~44.5kg.m,정보없음,정보없음,정보없음,자동13.8km/ℓ(2등급)수동14.8km/ℓ(2등급),133.0~143.0g/km,"4,690mm","1,880mm","1,690mm","2,700mm","1,628mm","1,639mm","1,760~1,799kg",7인승,235mm/55~60/18~19inch,235mm/55~60/18~19inch,전륜구동,"자동6단,수동6단",맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤드피니언,,
2014 싼타페,e-VGT R2.0 2WD,"2,802~3,318만원",I4직분사디젤,싱글터보,"1,995cc",디젤,자동13.8km/ℓ(2등급),5인승,전륜구동,자동6단,I4직분사디젤,"1,995cc",디젤,184hp,41.0kg.m,정보없음,정보없음,정보없음,자동13.8km/ℓ(2등급),137.0g/km,"4,690mm","1,880mm","1,680mm","2,700mm","1,628mm","1,639mm","1,792kg",5인승,235mm/55~60/18~19inch,235mm/55~60/18~19inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤드피니언,,
2014 싼타페,e-VGT R2.0 4WD,"3,180~3,528만원",I4직분사디젤,싱글터보,"1,995cc",디젤,자동13.0km/ℓ(3등급),5인승,풀타임4륜구동,자동6단,I4직분사디젤,"1,995cc",디젤,184hp,41.0kg.m,정보없음,정보없음,정보없음,자동13.0km/ℓ(3등급),153.0g/km,"4,690mm","1,880mm","1,680mm","2,700mm","1,628mm","1,639mm","1,859kg",5인승,235mm/55~60/18~19inch,235mm/55~60/18~19inch,풀타임4륜구동,자동6단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤드피니언,,
2014 쏘나타,2.0 가솔린,"2,040~2,795만원",I42.0,자연흡기,"1,999cc",가솔린,자동11.9~12.1km/ℓ(3등급)수동12.3km/ℓ(3등급),5인승,전륜구동,"자동6단,수동6단",I42.0,"1,999cc",가솔린,172hp,20.5kg.m,정보없음,정보없음,정보없음,자동11.9~12.1km/ℓ(3등급)수동12.3km/ℓ(3등급),142.0~147.0g/km,"4,820mm","1,835mm","1,470mm","2,795mm","1,587~1,597mm","1,587~1,597mm","1,400~1,415kg",5인승,205~225mm/45~65/16~18inch,205~225mm/45~65/16~18inch,전륜구동,"자동6단,수동6단",맥퍼슨스트럿,멀티링크코일스프링,디스크,디스크,랙앤피니언,,
2014 쏘나타,2.0 가솔린 터보,"2,670~3,190만원",I42.0,자연흡기,"1,998cc",가솔린,자동10.3km/ℓ(4등급),5인승,전륜구동,자동6단,I42.0,"1,998cc",가솔린,271hp,37.2kg.m,정보없음,정보없음,정보없음,자동10.3km/ℓ(4등급),171.0g/km,"4,820mm","1,835mm","1,470mm","2,795mm","1,587mm","1,587mm","1,520kg",5인승,225mm/45/18inch,225mm/45/18inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크코일스프링,디스크,디스크,랙앤피니언,,
2014 아반떼,1.6 가솔린,"1,395~2,065만원",I41.6,자연흡기,"1,591cc",가솔린,자동14.0km/ℓ(2등급)수동14.1km/ℓ(2등급),5인승,전륜구동,"자동6단,수동6단",I41.6,"1,591cc",가솔린,140hp,17.0kg.m,정보없음,정보없음,정보없음,자동14.0km/ℓ(2등급)수동14.1km/ℓ(2등급),122.0~123.0g/km,"4,550mm","1,775mm","1,435mm","2,700mm","1,549~1,579mm","1,562~1,576mm","1,210~1,245kg",5인승,195~215mm/45~65/15~17inch,195~215mm/45~65/15~17inch,전륜구동,"자동6단,수동6단",맥퍼슨스트럿,토션빔,디스크,디스크,랙앤피니언,,
2014 아반떼,1.6 디젤,"1,595~2,255만원",I4직분사디젤,싱글터보,"1,582cc",디젤,자동16.2km/ℓ(1등급)수동18.5km/ℓ(1등급),5인승,전륜구동,"자동6단,수동6단",I4직분사디젤,"1,582cc",디젤,119~128hp,15.5~28.5kg.m,정보없음,정보없음,정보없음,자동16.2km/ℓ(1등급)수동18.5km/ℓ(1등급),103.0~123.0g/km,"4,550mm","1,775mm","1,435mm","2,700mm","1,549~1,579mm","1,562~1,576mm","1,305~1,335kg",5인승,195~215mm/45~65/15~17inch,195~215mm/45~65/15~17inch,전륜구동,"자동6단,수동6단",맥퍼슨스트럿,토션빔,디스크,디스크,랙앤피니언,,
2014 아반떼 쿠페,2.0 가솔린,"1,680~2,040만원",I4직분사,자연흡기,"1,999cc",가솔린,자동12.4km/ℓ(3등급)수동12.8km/ℓ(3등급),5인승,전륜구동,"자동6단,수동6단",I4직분사,"1,999cc",가솔린,175hp,21.3kg.m,정보없음,정보없음,정보없음,자동12.4km/ℓ(3등급)수동12.8km/ℓ(3등급),135.0~140.0g/km,"4,540mm","1,775mm","1,435mm","2,700mm","1,549~1,551mm","1,562~1,564mm","1,216~1,239kg",5인승,205~215mm/45~55/16~17inch,205~215mm/45~55/16~17inch,전륜구동,"자동6단,수동6단",맥퍼슨스트럿,토션빔,디스크,디스크,랙앤드피니언,,
2014 아반떼 쿠페,튜익스 화이트 패키지,"2,040만원",I4직분사,자연흡기,"1,999cc",가솔린,자동12.4km/ℓ(3등급),5인승,전륜구동,자동6단,I4직분사,"1,999cc",가솔린,175hp,21.3kg.m,정보없음,정보없음,정보없음,자동12.4km/ℓ(3등급),140.0g/km,"4,540mm","1,775mm","1,435mm","2,700mm","1,551mm","1,564mm","1,239kg",5인승,215mm/45/17inch,215mm/45/17inch,전륜구동,자동6단,맥퍼슨스트럿,토션빔,디스크,디스크,랙앤드피니언,,
2014 에쿠스,VS500,"1억1,126만원",V8,자연흡기,"5,038cc",가솔린,자동8.1km/ℓ(5등급),5인승,후륜구동,자동8단,V8,"5,038cc",가솔린,416hp,52.0kg.m,정보없음,정보없음,정보없음,자동8.1km/ℓ(5등급),223.0g/km,"5,160mm","1,900mm","1,490mm","3,045mm","1,620mm","1,627mm","2,040kg",5인승,245mm/45/19inch,275mm/40/19inch,후륜구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙앤피니언,,
2014 에쿠스,VS380,"6,798~1억503만원",V6,자연흡기,"3,778cc",가솔린,자동8.9km/ℓ(5등급),5인승,후륜구동,자동8단,V6,"3,778cc",가솔린,334hp,40.3kg.m,정보없음,정보없음,정보없음,자동8.9km/ℓ(5등급),201.0g/km,"5,160mm","1,900mm","1,495mm","3,045mm","1,620mm","1,627mm","1,915kg",5인승,245mm/45~50/18~19inch,245~275mm/40~50/18~19inch,후륜구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙앤피니언,,
2014 에쿠스 리무진,VL500,"1억4,584만원",V8,자연흡기,"5,038cc",가솔린,자동7.4km/ℓ(5등급),4인승,후륜구동,자동8단,V8,"5,038cc",가솔린,416hp,52.0kg.m,정보없음,정보없음,정보없음,자동7.4km/ℓ(5등급),244.0g/km,"5,460mm","1,900mm","1,490mm","3,345mm","1,620mm","1,627mm","2,150kg",4인승,245mm/45/19inch,275mm/40/19inch,후륜구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙앤피니언,,
2014 에쿠스 리무진,VL380,"1억3,497만원",V6,자연흡기,"3,778cc",가솔린,자동8.4km/ℓ(5등급),4인승,후륜구동,자동8단,V6,"3,778cc",가솔린,334hp,40.3kg.m,정보없음,정보없음,정보없음,자동8.4km/ℓ(5등급),214.0g/km,"5,460mm","1,900mm","1,490mm","3,345mm","1,620mm","1,627mm","2,065kg",4인승,245mm/45/19inch,275mm/40/19inch,후륜구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙앤피니언,,
2014 엑센트,1.6 가솔린,"1,487~1,617만원",I41.6직분사,자연흡기,"1,591cc",가솔린,자동14.0~14.3km/ℓ(2등급),5인승,전륜구동,자동6단,I41.6직분사,"1,591cc",가솔린,140hp,17.0kg.m,정보없음,정보없음,정보없음,자동14.0~14.3km/ℓ(2등급),120.0~123.0g/km,"4,370mm","1,705mm","1,455mm","2,570mm","1,506mm","1,511mm","1,085kg",5인승,175~195mm/50~70/14~16inch,175~195mm/50~70/14~16inch,전륜구동,자동6단,맥퍼슨스트럿,토션빔액슬,디스크,디스크,랙앤피니언,,
2014 엑센트,1.6 디젤,"1,388~1,824만원",I41.6직분사디젤,싱글터보,"1,582cc",디젤,자동16.5km/ℓ(1등급)수동19.2km/ℓ(1등급),5인승,전륜구동,"자동4단,수동6단",I41.6직분사디젤,"1,582cc",디젤,128hp,26.5kg.m,정보없음,정보없음,정보없음,자동16.5km/ℓ(1등급)수동19.2km/ℓ(1등급),99.0~118.0g/km,"4,370mm","1,705mm","1,455mm","2,570mm","1,488~1,506mm","1,493~1,511mm","1,155~1,165kg",5인승,175~195mm/50~70/14~16inch,175~195mm/50~70/14~16inch,전륜구동,"자동4단,수동6단",맥퍼슨스트럿,토션빔액슬,디스크,디스크,랙앤피니언,,
2014 엑센트,1.4 가솔린,"1,111~1,579만원",I41.4,자연흡기,"1,368cc",가솔린,수동15.0km/ℓ(2등급)CVT14.1km/ℓ(2등급),5인승,전륜구동,"수동6단,자동(CVT)",I41.4,"1,368cc",가솔린,100hp,13.6kg.m,정보없음,정보없음,정보없음,수동15.0km/ℓ(2등급)CVT14.1km/ℓ(2등급),113.0g/km,"4,370mm","1,705mm","1,455mm","2,570mm","1,488~1,506mm","1,493~1,511mm","1,035~1,095kg",5인승,175~195mm/50~70/14~16inch,175~195mm/50~70/14~16inch,전륜구동,"수동6단,자동(CVT)",맥퍼슨스트럿,토션빔액슬,디스크,디스크,랙앤피니언,,
2014 엑센트 위트,1.6 디젤,"1,503~1,854만원",I41.6직분사디젤,싱글터보,"1,582cc",디젤,자동16.5km/ℓ(1등급)수동19.2km/ℓ(1등급),5인승,전륜구동,"자동4단,수동6단",I41.6직분사디젤,"1,582cc",디젤,128hp,26.5kg.m,정보없음,정보없음,정보없음,자동16.5km/ℓ(1등급)수동19.2km/ℓ(1등급),99.0~118.0g/km,"4,115mm","1,705mm","1,455mm","2,570mm","1,488~1,506mm","1,493~1,511mm","1,155~1,165kg",5인승,175~195mm/50~70/14~16inch,175~195mm/50~70/14~16inch,전륜구동,"자동4단,수동6단",맥퍼슨스트럿,토션빔액슬,디스크,디스크,랙앤피니언,,
2014 엑센트 위트,1.6 가솔린,"1,640~1,647만원",I41.6직분사,자연흡기,"1,591cc",가솔린,자동14.0~14.3km/ℓ(2등급),5인승,전륜구동,자동6단,I41.6직분사,"1,591cc",가솔린,140hp,17.0kg.m,정보없음,정보없음,정보없음,자동14.0~14.3km/ℓ(2등급),120.0~123.0g/km,"4,115mm","1,705mm","1,455mm","2,570mm","1,488mm","1,493mm","1,090kg",5인승,195mm/50/16inch,195mm/50/16inch,전륜구동,자동6단,맥퍼슨스트럿,토션빔액슬,디스크,디스크,랙앤피니언,,
2014 엑센트 위트,1.4 가솔린,"1,459~1,609만원",I41.4,자연흡기,"1,368cc",가솔린,CVT14.1km/ℓ(2등급),5인승,전륜구동,자동(CVT),I41.4,"1,368cc",가솔린,100hp,13.6kg.m,정보없음,정보없음,정보없음,CVT14.1km/ℓ(2등급),122.0g/km,"4,115mm","1,705mm","1,455mm","2,570mm","1,488~1,506mm","1,493~1,511mm","1,095kg",5인승,175~195mm/50~70/14~16inch,175~195mm/50~70/14~16inch,전륜구동,자동(CVT),맥퍼슨스트럿,토션빔액슬,디스크,디스크,랙앤피니언,,
2014 투싼,2.0 디젤 4WD,"2,270~2,930만원",I42.0,싱글터보,"1,995cc",디젤,자동12.5km/ℓ(2등급)수동13.8km/ℓ(2등급),5인승,파트타임4륜구동,"자동6단,수동6단",I42.0,"1,995cc",디젤,184hp,39.0~41.0kg.m,정보없음,정보없음,정보없음,자동12.5km/ℓ(2등급)수동13.8km/ℓ(2등급),142.0~159.0g/km,"4,410mm","1,820mm","1,655~1,685mm","2,640mm","1,585mm","1,586mm","1,611~1,643kg",5인승,225mm/55~60/17~18inch,225mm/55~60/17~18inch,파트타임4륜구동,"자동6단,수동6단",맥퍼슨스트럿,멀티링크코일스프링,디스크,디스크,랙앤피니언,,
2014 투싼,2.0 가솔린,"1,970~2,350만원",I42.0,자연흡기,"1,999cc",가솔린,자동10.3km/ℓ(4등급),5인승,전륜구동,자동6단,I42.0,"1,999cc",가솔린,166hp,20.9kg.m,정보없음,정보없음,정보없음,자동10.3km/ℓ(4등급),171.0g/km,"4,410mm","1,820mm","1,655~1,685mm","2,640mm","1,585mm","1,586mm","1,452kg",5인승,225mm/55~60/17~18inch,225mm/55~60/17~18inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크코일스프링,디스크,디스크,랙앤피니언,,
2014 투싼,2.0 디젤 2WD,"2,090~2,750만원",I42.0,싱글터보,"1,995cc",디젤,자동13.8km/ℓ(2등급)수동14.4km/ℓ(2등급),5인승,전륜구동,"자동6단,수동6단",I42.0,"1,995cc",디젤,184hp,39.0~41.0kg.m,정보없음,정보없음,정보없음,자동13.8km/ℓ(2등급)수동14.4km/ℓ(2등급),136.0~143.0g/km,"4,410mm","1,820mm","1,655~1,685mm","2,640mm","1,585mm","1,586mm","1,548~1,579kg",5인승,225mm/55~60/17~18inch,225mm/55~60/17~18inch,전륜구동,"자동6단,수동6단",맥퍼슨스트럿,멀티링크코일스프링,디스크,디스크,랙앤피니언,,
2015 i20,i20,"16,725파운드",I4,자연흡기,"1,352cc",가솔린,수동18.9km/ℓ,5인승,전륜구동,수동5단,I4,"1,352cc",가솔린,100hp,13.7kg.m,184km/h,11.6초,정보없음,수동18.9km/ℓ,122.0g/km,"4,035mm","1,734mm","1,474mm","2,570mm",정보없음,"1,519mm",정보없음,5인승,185mm/65/15inch,185mm/65/15inch,전륜구동,수동5단,맥퍼슨스트럿,토션빔액슬,V디스크,드럼,랙앤피니언,,
2015 i20 쿠페,1.4 가솔린,"15,725~16,400파운드",I4,싱글터보,"1,368cc",가솔린,정보없음정보없음,정보없음,전륜구동,"자동4단,수동6단",I4,"1,368cc",가솔린,100hp,13.7kg.m,정보없음,정보없음,정보없음,정보없음정보없음,정보없음,"4,045mm","1,730mm","1,449mm","2,570mm",정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,전륜구동,"자동4단,수동6단",맥퍼슨스트럿,토션빔,정보없음,정보없음,랙앤피니언,,
