차 이름,모델명,가격,주요제원[엔진형식],주요제원[과급방식],주요제원[배기량],주요제원[연료],주요제원[연비(등급)],주요제원[승차인원],주요제원[구동방식],주요제원[변속기],엔진[엔진형식],엔진[배기량],엔진[연료],엔진[최대출력],엔진[최대토크],성능[최고속도],성능[가속성능(0~100km/h)],성능[제동성능],성능[연비(등급)],성능[CO²배출량],치수[전장],치수[전폭],치수[전고],치수[축거],치수[윤거전],치수[윤거후],치수[공차중량],치수[승차인원],치수[전륜타이어],치수[후륜타이어],섀시[구동방식],섀시[변속기],섀시[전륜서스펜션],섀시[후륜서스펜션],섀시[전륜제동장치],섀시[후륜제동장치],섀시[스티어링],Error,Error
1993 포터,2.5 디젤,683만원,I4,싱글터보,"2,476cc",디젤,정보없음,2인승,후륜구동,수동5단,I4,"2,476cc",디젤,80hp,14.9kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"4,605mm","1,690mm","1,890mm","2,350mm",정보없음,정보없음,"1,315kg",2인승,정보없음,정보없음,후륜구동,수동5단,정보없음,정보없음,정보없음,정보없음,정보없음,,
1995 마르샤,2.0 가솔린,"1,690~1,820만원",2.0DOHC,정보없음,"1,997cc",가솔린,"자동9.2km/ℓ(4등급)별표*
수동10.8km/ℓ(3등급)별표*
",5인승,전륜구동,"자동4~5단,수동5단",2.0DOHC,"1,997cc",가솔린,146hp,19.2kg.m,정보없음,정보없음,정보없음,"자동9.2km/ℓ(4등급)별표*
수동10.8km/ℓ(3등급)별표*
",정보없음,"4,770mm","1,770mm","1,405mm","2,700mm","1,515mm","1,505mm","1,355kg",5인승,195mm/70/14inch,195mm/70/14inch,전륜구동,"자동4~5단,수동5단",맥퍼슨스트럿,멀티링크코일스프링,V디스크,디스크,랙앤피니언,,
1995 마르샤,2.5 V6 가솔린,"2,440만원",2.5DOHC,정보없음,"2,497cc",가솔린,"자동9.2km/ℓ(4등급)별표*
",5인승,전륜구동,자동4단,2.5DOHC,"2,497cc",가솔린,173hp,22.4kg.m,정보없음,정보없음,정보없음,"자동9.2km/ℓ(4등급)별표*
",정보없음,"4,770mm","1,770mm","1,405mm","2,700mm","1,515mm","1,505mm","1,355kg",5인승,205mm/60/15inch,205mm/60/15inch,전륜구동,자동4단,맥퍼슨스트럿,멀티링크코일스프링,V디스크,디스크,랙앤피니언,,
1995 스쿠프,1.5 가솔린,625~805만원,"12VALVEMPI,12VALVEMPI+터보",정보없음,"1,495cc",가솔린,"자동16.4km/ℓ(1등급)별표*
수동14.1~16.4km/ℓ(1등급~2등급)별표*
",4인승,전륜구동,"자동4단,수동5단","12VALVEMPI,12VALVEMPI+터보","1,495cc",가솔린,102~129hp,14.5~18.3kg.m,정보없음,정보없음,정보없음,"자동16.4km/ℓ(1등급)별표*
수동14.1~16.4km/ℓ(1등급~2등급)별표*
",정보없음,"4,215mm","1,625mm","1,330mm","2,385mm","1,390mm","1,340mm","970~1,000kg",4인승,175~185mm/60~70/13~14inch,175~185mm/60~70/13~14inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,세미트레일링암,디스크,디스크,랙앤피니언,,
1995 아반떼,가솔린 1.5 VVT,780만원,1.5DOHC,정보없음,"1,495cc",가솔린,정보없음,5인승,전륜구동,수동5단,1.5DOHC,"1,495cc",가솔린,107hp,14.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"4,450mm","1,735mm","1,395mm","2,550mm","1,465mm","1,450mm","1,144kg",5인승,정보없음,정보없음,전륜구동,수동5단,정보없음,정보없음,정보없음,정보없음,정보없음,,
1995 아반떼,가솔린 1.8 VVT,850만원,1.8DOHC,정보없음,"1,795cc",가솔린,정보없음,5인승,전륜구동,수동5단,1.8DOHC,"1,795cc",가솔린,138hp,17.6kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"4,450mm","1,735mm","1,395mm","2,550mm","1,465mm","1,450mm","1,169kg",5인승,정보없음,정보없음,전륜구동,수동5단,정보없음,정보없음,정보없음,정보없음,정보없음,,
1995 아반떼 투어링,1.5 알파,850만원,l4,자연흡기,"1,495cc",가솔린,자동11.7km/ℓ,5인승,전륜구동,자동4단,l4,"1,495cc",가솔린,107hp,14.0kg.m,정보없음,정보없음,정보없음,자동11.7km/ℓ,정보없음,"4,450mm","1,700mm","1,425mm","2,550mm","1,465mm","1,450mm",정보없음,5인승,정보없음,정보없음,전륜구동,자동4단,맥퍼슨스트럿,듀얼링크,정보없음,정보없음,랙앤피니언,,
1995 아반떼 투어링,1.8 베타,910만원,l4,자연흡기,"1,795cc",가솔린,자동11.0km/ℓ,5인승,전륜구동,자동4단,l4,"1,795cc",가솔린,138hp,17.6kg.m,정보없음,정보없음,정보없음,자동11.0km/ℓ,정보없음,"4,450mm","1,700mm","1,425mm","2,550mm","1,465mm","1,450mm",정보없음,5인승,정보없음,정보없음,전륜구동,자동4단,맥퍼슨스트럿,듀얼링크,정보없음,정보없음,랙앤피니언,,
1995 엑센트,1.4 가솔린,520~585만원,SOHC,정보없음,"1,341cc",가솔린,"수동18.3km/ℓ(1등급)별표*
",5인승,전륜구동,수동5단,SOHC,"1,341cc",가솔린,85hp,12.0kg.m,정보없음,정보없음,정보없음,"수동18.3km/ℓ(1등급)별표*
",정보없음,"4,115mm","1,620mm","1,395mm","2,400mm","1,420mm","1,410mm",960kg,5인승,155mm/80/13inch,155mm/80/13inch,전륜구동,수동5단,맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
1995 엑센트,1.5 가솔린,570~681만원,"SOHC,DOHC",정보없음,"1,495cc",가솔린,"자동15.3km/ℓ(1등급)별표*
수동15.8~18.9km/ℓ(1등급)별표*
",5인승,전륜구동,"자동4단,수동5단","SOHC,DOHC","1,495cc",가솔린,95hp,13.6kg.m,정보없음,정보없음,정보없음,"자동15.3km/ℓ(1등급)별표*
수동15.8~18.9km/ℓ(1등급)별표*
",정보없음,"4,115mm","1,620mm","1,395mm","2,400mm","1,420mm","1,410mm",965~980kg,5인승,155~175mm/70~80/13inch,155~175mm/70~80/13inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
