rank,title,year,rating,genres,runtime,director,total revenue
174,Stalker,(1979),8.1,Drama,2h 42min,Andrei Tarkovsky,"$303,815"
175,Kill Bill: Vol. 1,(2003),8.1,Action,1h 51min,Quentin Tarantino,"$180,899,045"
176,Fargo,(1996),8.1,Crime,1h 38min,Joel Coen,"$60,611,975"
177,Tôkyô monogatari,(1953),8.1,Drama,2h 16min,Yasujirô Ozu,"$40,405"
178,The Third Man,(1949),8.1,Film-Noir,1h 44min,Carol Reed,"$1,225,424"
179,On the Waterfront,(1954),8.1,Crime,1h 48min,Elia Kazan,None
180,Salinui chueok,(2003),8.1,Action,2h 11min,Bong Joon Ho,"$1,032,034"
181,Gran Torino,(2008),8.1,Drama,1h 56min,Clint Eastwood,"$269,958,228"
182,The Deer Hunter,(1978),8.1,Drama,3h 3min,Michael Cimino,"$49,074,243"
183,Waildeu Teiljeu: Cham-eul Su Eobsneun Sungan,(2014),8.1,Comedy,2h 2min,Damián Szifron,"$30,642,704"
184,Klaus,(2019),8.1,Animation,1h 36min,Sergio Pablos,None
185,Andhadhun,(2018),8.1,Crime,2h 19min,Sriram Raghavan,"$62,475,342"
186,In the Name of the Father,(1993),8.1,Biography,2h 13min,Jim Sheridan,"$65,796,862"
187,Mary and Max,(2009),8.1,Animation,1h 32min,Adam Elliot,"$1,739,445"
188,Gone Girl,(2014),8.1,Drama,2h 29min,David Fincher,"$369,330,363"
189,Hacksaw Ridge,(2016),8.1,Biography,2h 19min,Mel Gibson,"$180,450,918"
190,The Grand Budapest Hotel,(2014),8.1,Adventure,1h 39min,Wes Anderson,"$172,940,046"
191,The Big Lebowski,(1998),8.1,Comedy,1h 57min,Joel Coen,"$46,736,943"
192,Before Sunrise,(1995),8.1,Drama,1h 41min,Richard Linklater,"$5,986,708"
193,Catch Me If You Can,(2002),8.1,Biography,2h 21min,Steven Spielberg,"$352,114,312"
194,Eskiya,(1996),8.1,Crime,2h 8min,Yavuz Turgul,None
195,Persona,(1966),8.1,Drama,1h 25min,Ingmar Bergman,"$25,407"
196,To Be or Not to Be,(1942),8.1,Comedy,1h 39min,Ernst Lubitsch,"$4,578,000"
197,Ford v Ferrari,(2019),8.1,Action,2h 32min,James Mangold,"$225,508,210"
198,Prisoners,(2013),8.1,Crime,2h 33min,Denis Villeneuve,"$122,126,687"
199,The General,(1926),8.1,Action,1h 7min,Clyde Bruckman,None
200,How to Train Your Dragon,(2010),8.1,Animation,1h 38min,Dean DeBlois,"$494,878,759"
201,Sherlock Jr.,(1924),8.1,Action,45min,Buster Keaton,None
